PaperID,PaperTitle,PublicationDate,PaperLocated,DOI,#Citation,#Reference,#Existed Reference,#Not in RG List
1732579,Local Circumstellar Magnetic Fields Around Evolved Stars | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 336(3),10.1046/j.1365-8711.2002.05817.x,23 ,59,22,37
1732580,(PDF) Optical Slitless Spectroscopy of Large Magellanic Cloud Planetary Nebulae: A Study of the Emission Lines and Morphology,02-Aug,The Astrophysical Journal 575(1),10.1086/341146,39 ,43,21,22
1732581,(PDF) Is RX J1856.5-3754 a quark star?,02-Jun,The Astrophysical Journal 572(2):996-1001,10.1086/340368,206 ,64,38,26
1732582,Short Timescale Correlations Between Line and Continuum Fluxes in Cygnus X-1,02-Sep,Monthly Notices of the Royal Astronomical Society 335(2):465 - 472,10.1046/j.1365-8711.2002.05640.x,11 ,30,17,13
1732583,The black hole mass-stellar velocity dispersion correlation: Bulges versus pseudo-bulges,08-Jun,Monthly Notices of the Royal Astronomical Society 386(4):2242 - 2252,10.1111/j.1365-2966.2008.13195.x,180 ,279,149,46
1732584,X-raying the Cosmic Star Formation Rate | Request PDF,Jul-99,arXiv,,0 ,14,5,9
1732585,(PDF) Young Galaxies: What Turns Them On?,Jun-99,The Astrophysical Journal 523(2),10.1086/312271,72 ,42,21,21
1732586,(PDF) Nonradial and nonpolytropic astrophysical outflows IV. Magnetic or thermal collimation of winds into jets?,Jul-99,arXiv,,17 ,62,21,41
1732588,(PDF) Currents in a Tokamak,08-Feb,arXiv,,0 ,9,4,5
1732589,SNe heating and the chemical evolution of the intra-cluster medium | Request PDF,02-Jul,New Astronomy 7(5):227-247,10.1016/S1384-1076(02)00136-7,81 ,100,68,81
1732590,Broad Emission-Line Shifts in Quasars: An Orientation Measure for Radio-Quiet Quasars? | Request PDF,07-Dec,The Astronomical Journal 124(1):1,10.1086/341167,245 ,77,53,24
1732591,(PDF) The Validity of the Adiabatic Contraction Approximation for Dark Matter Halos,02-Apr,The Astrophysical Journal 571(2),10.1086/341369,52 ,36,16,20
1732592,(PDF) An IR view of mass loss in Long Period Variables,02-May,arXiv,,0 ,11,3,8
1732593,Shell Shock and Cloud Shock: Results from Spatially Resolved X-Ray Spectroscopy with Chandra in the Cygnus Loop,02-Jun,The Astrophysical Journal 576(2),10.1086/341802,44 ,52,27,25
1732594,(PDF) A Large Atomic Hydrogen Shell in the Outer Galaxy: Supernova Remnant or Stellar Wind Bubble?,02-Aug,The Astrophysical Journal 574(2),10.1086/341117,11 ,41,18,23
1732595,Detecting Very High Energy Neutrinos by the Telescope Array,03-Apr,Astroparticle Physics 19(1):37-46,10.1016/S0927-6505(02)00191-3,33 ,59,29,30
1732596,(PDF) Calibrating the Cepheid Period-Luminosity relation with the VLTI,02-May,EAS Publications Series 6,10.1051/eas:2003026,0 ,8,3,5
1732597,(PDF) A Universal Probability Distribution Function for Weak-lensing Amplification,02-Apr,The Astrophysical Journal 572(1),10.1086/341604,77 ,55,32,67
1732598,Unified classical and quantum radiation mechanism for ultrarelativistic electrons in curved and inhomogeneous magnetic fields | Request PDF,02-Sep,Monthly Notices of the Royal Astronomical Society 335(1):99 - 113,10.1046/j.1365-8711.2002.05598.x,15 ,29,20,9
1732599,Gas Metallicity of Narrow-Line Regions in Narrow-Line Seyfert 1 Galaxies and Broad-Line Seyfert 1 Galaxies,02-Apr,The Astrophysical Journal 575(2),10.1086/341355,25 ,140,90,139
1732600,(PDF) X-Ray Binaries and Globular Clusters in Elliptical Galaxies,02-Apr,The Astrophysical Journal 571(1),10.1086/341122,57 ,53,26,27
1732601,(PDF) Evidence of fast rotation in dwarf elliptical galaxies,02-Apr,Monthly Notices of the Royal Astronomical Society 332(3),10.1046/j.1365-8711.2002.05565.x,104 ,55,44,55
1732602,(PDF) Dynamical Creation of Bosonic Cooper-Like Pairs,08-Mar,Physical Review Letters 100(11):110406,10.1103/PHYSREVLETT.100.110406,13 ,24,18,6
1732603,Circumbinary disk evolution | Request PDF,02-May,Astronomy and Astrophysics 387(2),10.1051/0004-6361:20020407,127 ,31,14,17
1732604,The broad band X-ray spectrum of the black hole candidate GRS1758-258 | Request PDF,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020546,7 ,35,13,22
1732605,The detection of the donor star in IY UMa | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 334(3),10.1046/j.1365-8711.2002.05563.x,5 ,34,19,15
1732606,Binary Aggregations in Hierarchical Galaxy Formation: The Evolution of the Galaxy Luminosity Function | Request PDF,02-Apr,The Astrophysical Journal 575(1),10.1086/341191,83 ,104,52,52
1732607,(PDF) Complex X-Ray Spectral Variability in Markarian 421 Observed with XMM-Newton,02-Apr,The Astrophysical Journal 574(2),10.1086/341108,33 ,46,18,28
1732608,Photoevaporation of Clumps in Photodissociation Regions | Request PDF,08-Dec,The Astrophysical Journal 573(1):215,10.1086/340556,47 ,96,59,37
1732609,Mg II Absorption Lines in z=2.974 Damped Lyalpha System toward Gravitationally Lensed QSO APM 08279+5255: Detection of Small-Scale Structure in Mg II Absorbing Clouds | Request PDF,02-Apr,The Astrophysical Journal 569(2):676-681,10.1086/339475,23 ,28,17,11
1732610,(PDF) Detailed Structural Decomposition of Galaxy Images,02-Apr,The Astronomical Journal 124(1),10.1086/340952,1712 ,139,55,84
1732611,Electric Fields in a Tokamak | Request PDF,08-Jan,arXiv,,0 ,5,1,4
1732612,Reflection-Free One-Way Edge Modes in a Gyromagnetic Photonic Crystal | Request PDF,08-Feb,Physical Review Letters 100(1):013905,10.1103/PhysRevLett.100.013905,803 ,30,18,12
1732613,Cosmic Rays from Microquasars: a Narrow Component to the CR Spectrum?,02-Aug,Astronomy and Astrophysics 390(2),10.1051/0004-6361:20020615,128 ,86,47,39
1732614,Assessing Formation Scenarios for the Double Nucleus of M31 Using Two-Dimensional Image Decomposition,02-Apr,The Astronomical Journal 124(1),10.1086/340958,13 ,76,37,39
1732615,The Correlations between Planetary Nebula Morphology and Central Star Evolution. Analysis of the Northern Galactic Sample | Request PDF,02-Apr,The Astrophysical Journal 576(1),10.1086/341340,60 ,73,29,44
1732616,Joint Time?Frequency Analysis: A tool for exploratory analysis and filtering of non-stationary time series,02-Apr,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020520,12 ,22,13,9
1732617,(PDF) Comment on ``The Effect of Vacuum Polarization ... in Strongly Magnetized Plasmas'' by Ozel (astro-ph/0203449),02-May,arXiv,,1 ,6,0,6
1732618,(PDF) Chandra Observations of the Disruption of the Cool Core in A133,08-Dec,The Astrophysical Journal 575(2):764,10.1086/341352,26 ,89,62,27
1732619,Hubble Space Telescope/STIS Spectroscopy of the White Dwarfs in the Short-Period Dwarf Novae LL Andromedae and EF Pegasi | Request PDF,08-Dec,The Astrophysical Journal 575(1):419,10.1086/341213,16 ,26,20,6
1732620,"M 31, M 33 and the Milky Way: Similarities and Differences",02-Jan,EAS Publications Series 2:295-304,10.1051/eas:2002029,3 ,45,31,14
1732621,(PDF) On the formation of neon-enriched donor stars in ultracompact X-ray binaries,02-Apr,Astronomy and Astrophysics 388(2),10.1051/0004-6361:20020518,55 ,65,40,79
1732622,(PDF) Bianchi VIIh models and the cold spot texture,08-Nov,Monthly Notices of the Royal Astronomical Society 390(4):1372 - 1376,10.1111/j.1365-2966.2008.13835.x,18 ,46,18,12
1732623,(PDF) Deviations from the Local Hubble Flow. I. The Tip of the Red Giant Branch as a Distance Indicator,02-Apr,The Astronomical Journal 124(1),10.1086/341168,144 ,82,36,46
1732625,(PDF) The OH Megamaser Luminosity Function,02-Apr,The Astrophysical Journal 572(2),10.1086/340372,49 ,61,31,29
1732626,Variable Thermal Emission from Aquila X-1 in Quiescence | Request PDF,08-Dec,The Astrophysical Journal 577(1):346,10.1086/342155,74 ,77,51,26
1732627,Analysis of the stochastic FitzHugh-Nagumo system | Request PDF,08-Feb,Infinite Dimensional Analysis Quantum Probability and Related Topics 11(03),10.1142/S0219025708003191,26 ,19,18,1
1732628,(PDF) Global m=1 modes and migration of protoplanetary cores in eccentric protoplanetary discs,02-Apr,Astronomy and Astrophysics 388(2),10.1051/0004-6361:20020490,73 ,39,20,10
1732629,Lyman Break Galaxies and the Reionization of the Intergalactic Medium | Request PDF,02-Apr,The Astrophysical Journal 569(2),10.1086/340770,34 ,47,22,25
1732630,(PDF) A Revised Parallax and its Implications for RX J185635-3754,02-Apr,The Astrophysical Journal 576(2),10.1086/343850,161 ,35,28,31
1732631,Constraining the past X-ray luminosity of AGN in clusters of galaxies: The role of resonant scattering,02-Apr,Astronomy and Astrophysics 393(3),10.1051/0004-6361:20021033,6 ,76,49,27
1732632,The optical counterparts to Be/X‐ray binaries in the Magellanic Clouds | Request PDF,Oct-99,Monthly Notices of the Royal Astronomical Society 309(2):421 - 429,10.1046/j.1365-8711.1999.02847.x,41 ,30,11,19
1732633,(PDF) A Neural Network-based ARX Model of Virgo Noise,Jul-99,,10.1007/978-1-4471-0877-1_16,8 ,14,12,2
1732634,Wide-field VLBI imaging | Request PDF,Jun-99,New Astronomy Reviews 43(8-10):519-522,10.1016/S1387-6473(99)00045-7,18 ,1,0,1
1732635,Intrinsic formulation of geometric integrability and associated Riccati system generating conservation laws | Request PDF,09-Aug,International Journal of Geometric Methods in Modern Physics 6(5),10.1142/S0219887809003771,4 ,21,15,6
1732636,Lyman break galaxies in the NGST era | Request PDF,02-Apr,,10.1007/10899892_81,1 ,17,6,11
1732637,Is Cosmic Acceleration Really Recent?,02-Apr,,10.1063/1.1492164,1 ,21,9,12
1732638,The Detectability of Orphan Afterglows | Request PDF,02-Apr,The Astrophysical Journal 579(2),10.1086/342791,85 ,26,10,16
1732639,(PDF) The Physics of the Knee in the Cosmic Ray Spectrum,02-May,arXiv,,15 ,37,8,29
1732640,"(PDF) Comptonization, the X-ray-radio correlation and the long-term periodicity in the chi-states of GRS 1915+105",02-Aug,arXiv,,0 ,31,12,19
1732641,Is eta' partially made of gluonium? | Request PDF,08-Jan,arXiv,,3 ,9,4,5
1732642,(PDF) Lensing Properties of Cored Galaxy Models,02-May,The Astrophysical Journal 575(1),10.1086/341214,35 ,67,36,31
1732643,Cosmology with GTC. A combined mm-optical galaxy cluster survey | Request PDF,02-May,arXiv,,0 ,2,1,1
1732644,(PDF) Numerical Simulations of Kinematic Dynamo Action,02-Apr,Astronomy and Astrophysics 397(2),10.1051/0004-6361:20021568,35 ,24,13,11
1732645,Chemical composition of Galactic OB stars I. CNO abundances in O9 stars,02-Apr,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020400,38 ,72,20,52
1732646,"(PDF) Einstein, Sciascia, Majorana, Amaldi, e il Rapporto tra Intellettuali e Potere (Einstein, Sciascia, Majorana, Amaldi, and the Relationship of Intellectuals with the Power)",07-Oct,arXiv,,0 ,21,5,11
1732647,(PDF) Vacuum gap model for PSR B0943+10,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020475,24 ,39,17,21
1732648,(PDF) Point field models for the galaxy point pattern : Modelling the singularity of the two-point correlation function,02-Jun,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020551,7 ,41,20,21
1732649,(PDF) High-Resolution X-ray Imaging of the Colliding Wind Shock in WR147,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020465,37 ,67,31,36
1732650,The Great Observatories Origins Deep Survey,02-Apr,,10.1007/10899892_78,190 ,15,1,14
1732651,(PDF) ESO for GOODS' sake,02-Apr,,10.1007/10899892_79,13 ,1,1,0
1732652,Searching for Planets in the Hyades. I. The Keck Radial Velocity Survey,02-Apr,The Astronomical Journal 124(1),10.1086/341170,39 ,72,29,43
1732653,(PDF) Searching for Planets in the Hyades II: Some Implications of Stellar Magnetic Activity,02-Apr,The Astronomical Journal 124(1),10.1086/341171,67 ,78,30,48
1732654,Improved Astrometry and Photometry for the Luyten Catalog. I. Bright Stars,02-Apr,The Astrophysical Journal 582(2),10.1086/344818,47 ,61,32,29
1732655,Dark Matter as Dense Color Superconductor,03-Jul,Nuclear Physics B - Proceedings Supplements 124:99-102,10.1016/S0920-5632(03)02087-5,24 ,18,14,4
1732656,(PDF) Discovery of Radio Pulsations from the X-Ray Pulsar J0205+6449 in Supernova Remnant 3C 58 with the Green Bank Telescope,02-May,The Astrophysical Journal 571(1),10.1086/341178,69 ,40,22,47
1732657,(PDF) 1-1.4 Micron Spectral Atlas of Stars,02-Apr,The Astrophysical Journal Supplement Series 142(1),10.1086/341176,8 ,27,13,14
1732658,An Analytical Approach to the Spin-Distribution of Dark Halos,02-Apr,The Astrophysical Journal 581(2),10.1086/344240,4 ,37,21,1
1732659,Star Formation Rate from Dust Infrared Emission,02-Apr,The Astrophysical Journal 570(2),10.1086/341128,18 ,43,18,0
1732660,Relativistic Outflow of Electron-Positron Pair Plasma from a Wien Equilibrium State,02-Apr,The Astrophysical Journal 565(1),10.1086/324480,36 ,51,27,24
1732661,Study of the X-Ray Background Spectrum and its Large-Scale Fluctuation with ASCA | Request PDF,02-May,Publications- Astronomical Society of Japan 54(3),10.1093/pasj/54.3.327,199 ,119,47,72
1732662,Constraining the Rotation Rate of Transiting Extrasolar Planets by Oblateness Measurements,02-Apr,The Astrophysical Journal 574(2),10.1086/340994,83 ,31,15,0
1732663,(PDF) Rapid Oscillations in Cataclysmic Variables. XV. HT Camelopardalis (= RX J0757.0+6306),02-Apr,Publications of the Astronomical Society of the Pacific 114(796),10.1086/341686,27 ,27,19,8
1732664,(PDF) Stability and eccentricity of periodic orbit for two planets in a 1:1 resonance,02-May,arXiv,,2 ,15,9,10
1732665,"(PDF) Time Dependent Modeling of the Markarian 501 X-ray and TeV Gamma-Ray Data Taken During March and April, 1997",02-May,arXiv,,0 ,69,0,69
1732666,A New Look at the Evolution of Wolf-Rayet Central Stars of Planetary Nebulae | Request PDF,02-Apr,Publications of the Astronomical Society of the Pacific 114(796),10.1086/341691,51 ,126,57,69
1732667,"(PDF) Massive stars, globular clusters and elliptical galaxies",08-Feb,arXiv,,0 ,30,4,45
1732668,(PDF) Analysis of the distribution of HII regions in external galaxies. IV The new galaxy sample. Position and Inclination angles,02-Apr,Astronomy and Astrophysics 389(1),10.1051/0004-6361:20020460,22 ,205,92,68
1732669,The Cooling Neutron Star in 3C 58 | Request PDF,02-Apr,Astronomy and Astrophysics 389(1),10.1051/0004-6361:20020699,50 ,30,12,0
1732670,RXTE/OSSE Fits to the Hard State Spectrum of Cygnus X-1,02-May,arXiv,,3 ,26,7,0
1732671,(PDF) The dominant X-ray wind in massive star binaries,02-Apr,Proceedings of the International Astronomical Union 388(1),10.1051/0004-6361:20020583,39 ,24,10,14
1732672,(PDF) Discovery of X-rays from Venus with Chandra,02-Apr,Astronomy and Astrophysics 386(1),10.1051/0004-6361:20020097,62 ,50,50,39
1732673,The Parkes Multibeam Pulsar Survey – II. Discovery and timing of 120 pulsars | Request PDF,02-Sep,Monthly Notices of the Royal Astronomical Society 335(2):275 - 290,10.1046/j.1365-8711.2002.05551.x,163 ,25,15,0
1732674,Formation and evolution of galactic disks with a multiphase numerical model | Request PDF,02-Apr,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020547,80 ,99,44,55
1732675,(PDF) ISO LWS observations of the two nearby spiral galaxies NGC 6946 and NGC 1313,07-Dec,The Astronomical Journal 124(2):751,10.1086/341374,33 ,138,45,93
1732676,Statistics of turbulence profile at Cerro Tololo | Request PDF,02-Sep,Monthly Notices of the Royal Astronomical Society 340(1),10.1046/j.1365-8711.2003.06231.x,66 ,26,12,0
1732677,CTI history of the EPIC pn camera | Request PDF,02-May,arXiv,,2 ,2,0,0
1732678,(PDF) On the pulsation parallax of the variable star RR Lyr,02-Apr,Monthly Notices of the Royal Astronomical Society 332(4),10.1046/j.1365-8711.2002.05573.x,22 ,28,10,18
1732679,(PDF) The Molecular Condensations Ahead of Herbig-Haro Objects. I. Multi-transition Observations of HH 2,02-Apr,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020536,45 ,105,74,125
1732680,Measurement of the Solar Neutrino Capture Rate by the Russian-American Gallium Solar Neutrino Experiment During One Half of the 22-Year Cycle of Solar Activity,02-May,arXiv,,72 ,49,4,2
1732681,Perihelion motion due to the Poynting-Robertson effect,02-Aug,arXiv,,3 ,0,0,0
1732682,(PDF) Observation of periodic variable stars towards the galactic spiral arms by EROS II,02-Apr,arXiv,,9 ,43,16,27
1732683,(PDF) The Orientation of Jets Relative to Dust Disks in Radio Galaxies,02-Apr,The Astrophysical Journal 575(1),10.1086/341211,72 ,72,30,42
1732684,Multiple delays in QSO 0957+561: Observational evidence and interpretation | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 334(4),10.1046/j.1365-8711.2002.05574.x,26 ,63,26,37
1732685,Future Evolution of Nearby Large-Scale Structure in a Universe Dominated by a Cosmological Constant | Request PDF,03-Jul,New Astronomy 8(5):439-448,10.1016/S1384-1076(02)00234-8,75 ,52,28,24
1732686,Small angular scale CMB anisotropies from CBI and BIMA experiments: Early universe or local structures? | Request PDF,02-Oct,Physical Review D 66(8),10.1103/PhysRevD.66.083001,20 ,53,35,18
1732687,An XMM-Newton survey of Extremely Red Objects | Request PDF,02-May,arXiv,,3 ,34,16,0
1732688,(PDF) Chandra Study of Young Stellar Objects in the NGC 1333 Star-forming Cloud,02-Apr,The Astrophysical Journal 575(1),10.1086/341219,96 ,119,47,72
1732689,(PDF) Imaging low-order CO emission from the z = 4.12 quasi-stellar object PSS J2322+1944,02-Aug,The Astrophysical Journal 575(1),10.1086/341269,50 ,50,34,55
1732690,Hot Settling Accretion Flow onto a Spinning Black Hole | Request PDF,02-Apr,The Astrophysical Journal 581(1),10.1086/344102,4 ,104,49,55
1732691,M-Type Vega-like Stars | Request PDF,02-Apr,The Astronomical Journal 124(1),10.1086/341164,35 ,35,16,0
1732692,Eddington Limit and Radiative Transfer in Highly Inhomogeneous Atmospheres,02-Apr,The Astrophysical Journal 586(1),10.1086/367605,33 ,27,12,0
1732693,"(PDF) X-Ray Spectra of Intermediate-Luminosity, Radio-Loud Quasars",02-Apr,The Astrophysical Journal 575(1),10.1086/341137,18 ,84,40,44
1732694,(PDF) Measurable Concurrence of Mixed States,08-Jan,Physical Review A 77(1),10.1103/PhysRevA.77.012305,15 ,37,21,16
1732695,Orphan Afterglows of Collimated Gamma-Ray Bursts: Rate Predictions and Prospects for Detection | Request PDF,02-Apr,The Astrophysical Journal 576(1),10.1086/341738,75 ,86,41,45
1732696,Astronomy Astrophysics Wide field interferometric imaging with single-mode fibers | Request PDF,02-Apr,Astronomy and Astrophysics 387(1),10.1051/0004-6361:20020387,34 ,24,12,0
1732697,Reflection Spectra from Photoionized Accretion Discs,02-May,arXiv,,0 ,53,22,31
1732698,(PDF) First XMM-Newton results on the Pulsar Wind Nebula in the composite supernova remnant G0.9+0.1,02-May,arXiv,,0 ,17,3,14
1732699,(PDF) Luminosity Functions beyond the spectroscopic limit. I. Method and near-infrared LFs in the HDF-N and HDF-S,02-Jul,Astronomy and Astrophysics 395(2),10.1051/0004-6361:20021286,25 ,135,114,145
1732700,(PDF) Dephasing in the electronic Mach-Zehnder interferometer at filling factor ν = 2,08-Jul,"Physical review. B, Condensed matter 78(4)",10.1103/PhysRevB.78.045322,148 ,62,34,28
1732701,Understanding the Charged Meson Z(4430) | Request PDF,07-Dec,arXiv,,34 ,64,34,30
1732702,(PDF) Fundamental Conditions for N-th Order Accurate Lattice Boltzmann Models,08-Aug,Physica D Nonlinear Phenomena 237(14-17):2003-2008,10.1016/j.physd.2007.11.010,50 ,50,29,6
1732703,Determinants of finite-dimensional algebras,08-Jan,arXiv,,0 ,6,4,0
1732704,Cosmology Rounding the Cape | Request PDF,02-May,,10.1007/978-3-642-55739-2_11,4 ,242,128,62
1732705,(PDF) Discovery of X-rays from Venus with Chandra,02-Apr,Astronomy and Astrophysics 386(1),10.1051/0004-6361:20020097,62 ,50,50,39
1732706,(PDF) Variable Stars in the Field of Young Open Cluster NGC 581,02-May,arXiv,,6 ,36,17,19
1732707,(PDF) A Large Area CCD Camera for the Schmidt Telescope at the Venezuelan National Astronomical Observatory,02-May,Publications of the Astronomical Society of the Pacific 114(797),10.1086/341705,38 ,19,10,9
1732708,The information from muon arrival time distributions of high-energy EAS as measured with the KASCADE detector,02-May,arXiv,,1 ,44,4,0
1732709,(PDF) The X-ray halo of GX 13+1,08-Dec,The Astrophysical Journal 581(1):562,10.1086/344151,41 ,38,24,14
1732710,The AMANDA-II neutrino telescope,02-May,Nuclear Physics B - Proceedings Supplements 110(2),10.1016/S0920-5632(02)01550-5,8 ,5,4,0
1732711,(PDF) Interstellar Scintillation Velocities of a Relativistic Binary PSR B1534+12 and Three Other Millisecond Pulsars,02-Apr,The Astrophysical Journal 581(1),10.1086/344169,17 ,50,15,0
1732712,Fixed Delay Interferometry for Doppler Extrasolar Planet Detection | Request PDF,08-Dec,The Astrophysical Journal 571(2):L165,10.1086/341226,39 ,24,15,9
1732713,Discovery of an Edge-On Disk in the MBM 12 Young Association | Request PDF,02-Apr,The Astrophysical Journal 571(1),10.1086/341202,43 ,39,15,24
1732714,Future Galaxy Cluster Surveys: The Effect of Theory Uncertainty on Constraining Cosmological Parameters | Request PDF,02-May,The Astrophysical Journal 577(2),10.1086/342119,105 ,67,34,33
1732715,(PDF) A Highly Ordered Faraday-Rotation Structure in the Interstellar Medium,02-Apr,The Astrophysical Journal 575(1),10.1086/341266,26 ,46,19,27
1732716,(PDF) Thermal Evolution and Light Curves of Young Bare Strange Stars,02-Oct,Physical Review Letters 89(13):131101,10.1103/PhysRevLett.89.131101,89 ,52,29,23
1732717,Temperature variations from Hubble Space Telescope imagery and spectroscopy of NGC 7009,02-Aug,Monthly Notices of the Royal Astronomical Society 334(4):777 - 786,10.1046/j.1365-8711.2002.05567.x,40 ,60,27,42
1732718,Time evolution of the unstable two-fluid density fluctuations in Robertson-Walker Universes | Request PDF,03-Feb,Astrophysics and Space Science 283(3):375-402,10.1023/A:1021635613916,0 ,16,14,2
1732719,(PDF) An HST study of three very faint GRB host galaxies,02-May,Astronomy and Astrophysics 402(1),10.1051/0004-6361:20030154,23 ,61,27,34
1732720,Pulsation of the Delta Scuti star Theta2 Tau: New multisite photometry and modelling of instability | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 336(1),10.1046/j.1365-8711.2002.05734.x,29 ,66,27,39
1732721,(PDF) Correcting for lensing bias in the Hubble diagram,02-Apr,Astronomy and Astrophysics 397(3),10.1051/0004-6361:20021547,26 ,29,13,16
1732722,(PDF) Vertical structure models of T Tauri and Herbig Ae/Be disks,02-Apr,Astronomy and Astrophysics 389(2),10.1051/0004-6361:20020608,132 ,39,19,20
1732723,Electronic-Band-Structure Mapping of Nanotube Transistors by Scanning Photocurrent Microscopy | Request PDF,08-Jan,Small 3(12):2038-42,10.1002/smll.200700418,43 ,28,20,8
1732724,(PDF) Osculating spaces and diophantine equations (with an Appendix by Pietro Corvaja and Umberto Zannier),11-Jun,Mathematische Nachrichten 284(8‐9):960 - 972,10.1002/mana.200810159,7 ,21,13,8
1732725,Theoretical study on isotopic shift in angle-resolved photoemission spectra of Bi2Sr2CaCu2O8 | Request PDF,08-Mar,Journal of Physics Conference Series 100:052100,10.1088/1742-6596/100/5/052100,0 ,12,7,5
1732726,(PDF) Controlling spatiotemporal chaos in excitable media using an array of control points,08-Feb,EPL (Europhysics Letters) 81(5):50002,10.1209/0295-5075/81/50002,14 ,33,20,13
1732727,Homological properties of cochain Differential Graded algebras,08-Feb,Journal of Algebra 320(8):3311-3326,10.1016/j.jalgebra.2008.08.001,10 ,13,12,1
1732728,Gravitational Microlensing in NUT Space | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 338(4),10.1046/j.1365-8711.2003.06137.x,17 ,33,13,20
1732729,Timing of Millisecond Pulsars in NGC 6752: Evidence for a High Mass-to-Light Ratio in the Cluster Core | Request PDF,02-Apr,The Astrophysical Journal 570(2),10.1086/341030,72 ,42,18,24
1732730,(PDF) Faint Star Counts in the Near‐Infrared,02-Apr,Publications of the Astronomical Society of the Pacific 114(797),10.1086/341704,4 ,22,10,12
1732731,High-Resolution Spectroscopy of Ultracool M Dwarfs,07-Dec,The Astronomical Journal 124(1):519,10.1086/340805,75 ,119,74,44
1732732,(PDF) ISO observations of Hickson Compact Group 31 with the central Wolf-Rayet galaxy NGC 1741,02-Apr,The Astrophysical Journal 575(2),10.1086/341333,13 ,79,33,46
1732733,(PDF) Finite size scaling in the solar wind magnetic field energy density as seen by WIND,02-May,Geophysical Research Letters 29(10),10.1029/2001GL014587,65 ,28,24,4
1732734,"(PDF) Relativistic simulations of rotational core collapse : I. Methods, initial models, and code tests",02-Jun,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020563,146 ,44,27,17
1732735,(PDF) Relativistic simulations of rotational core collapse : II. Collapse dynamics and gravitational radiation,02-Oct,Astronomy and Astrophysics 393(2),10.1051/0004-6361:20021053,265 ,99,57,42
1732736,3D eclipse mapping in AM Herculis systems -`genetically modified fireflies' | Request PDF,02-Aug,Monthly Notices of the Royal Astronomical Society 334(4):990-998,10.1046/j.1365-8711.2002.05587.x,10 ,18,9,9
1732737,(PDF) On k -Resonant Fullerene Graphs,09-Oct,SIAM Journal on Discrete Mathematics 23(2):1023-1044,10.1137/080712763,33 ,36,32,4
1732738,Environment and Energy Injection Effects in GRB Afterglows | Request PDF,Jun-99,The Astrophysical Journal 537(2),10.1086/309044,43 ,88,38,50
1732739,(PDF) X-ray Orbital Modulation of Cygnus X-1,Jul-99,arXiv,,1 ,80,68,81
1732740,Internal shocks in blazar jets | Request PDF,Aug-99,Astronomische Nachrichten 320(4-5),10.1002/1521-3994(199908)320:4/5<232::AID-ASNA232>3.0.CO;2-B,33 ,15,7,8
1732741,Monte-Carlo simulation of particle acceleration in braided magnetic fields | Request PDF,Jul-99,arXiv,,0 ,8,1,7
1732742,Reply to Comment on ``Ab Initio Study of 40-Ca with an Importance Truncated No-Core Shell Model'' | Request PDF,08-Feb,arXiv,,0 ,10,1,9
1732743,The Case of PSR J1911–5958A in the Outskirts of NGC 6752: Signature of a Black Hole Binary in the Cluster Core? | Request PDF,02-Apr,The Astrophysical Journal 570(2),10.1086/341029,43 ,36,16,20
1732744,A new Monte Carlo code for star cluster simulations: II. Central black hole and stellar collisions,02-Apr,Astronomy and Astrophysics 394(1),10.1051/0004-6361:20021142,85 ,258,130,75
1732745,The r-Process and Chronometers,02-May,arXiv,,0 ,11,3,8
1732746,Constraints on Ωm and σ8 from Weak Lensing in Red-Sequence Cluster Survey Fields,08-Dec,The Astrophysical Journal 577(2):595,10.1086/342120,67 ,86,55,31
1732747,"(PDF) Variable Stars in the Unusual, Metal-rich Globular Cluster NGC 6388",02-Apr,The Astronomical Journal 124(2),10.1086/341381,73 ,158,70,0
1732748,"(PDF) ESI, a New Keck Observatory Echellette Spectrograph and Imager",02-Apr,Publications of the Astronomical Society of the Pacific 114(798),10.1086/341706,280 ,24,20,4
1732749,Classifications of the Host Galaxies of Supernovae | Request PDF,02-Apr,Publications of the Astronomical Society of the Pacific 114(798),10.1086/341709,27 ,21,11,10
1732750,(PDF) Magnetorotational Instability in Liquid Metal Couette Flow,02-Apr,The Astrophysical Journal 575(2),10.1086/341502,69 ,29,16,13
1732751,(PDF) Gravitational Lensing Statistics by Galaxy Clusters with Smoothness Parameter Depending on z,08-Jan,EAS Publications Series 30,10.1051/eas:0830047,0 ,12,8,4
1732752,"Origin of the ``Disk-Line'' Feature in the X-Ray Energy Spectrum of a Seyfert Galaxy, NGC 4151",02-May,Publications- Astronomical Society of Japan 54(3):373-386,10.1093/pasj/54.3.373,13 ,40,30,10
